iter	Passed	Remaining
0	135	40377
1	141	21014
2	148	14718
3	156	11560
4	167	9871
5	176	8636
6	183	7696
7	190	6969
8	197	6399
9	202	5867
10	206	5424
11	211	5069
12	214	4746
13	218	4460
14	221	4206
15	224	3976
16	226	3775
17	229	3592
18	231	3427
19	234	3277
20	236	3144
21	240	3040
22	244	2940
23	248	2862
24	253	2786
25	257	2713
26	261	2646
27	265	2576
28	268	2507
29	271	2440
30	274	2377
31	276	2316
32	278	2257
33	281	2201
34	283	2149
35	286	2101
36	288	2053
37	291	2008
38	293	1966
39	296	1926
40	298	1887
41	301	1854
42	305	1824
43	308	1792
44	310	1761
45	313	1731
46	316	1703
47	319	1675
48	321	1647
49	324	1621
50	326	1594
51	329	1569
52	331	1544
53	334	1524
54	337	1501
55	339	1479
56	342	1458
57	344	1437
58	346	1414
59	348	1395
60	352	1381
61	356	1366
62	358	1349
63	361	1332
64	363	1315
65	366	1299
66	370	1287
67	373	1273
68	376	1259
69	379	1245
70	382	1232
71	385	1221
72	388	1208
73	391	1195
74	394	1182
75	397	1170
76	400	1160
77	403	1148
78	406	1136
79	408	1123
80	410	1111
81	413	1099
82	417	1091
83	420	1082
84	423	1072
85	426	1060
86	428	1049
87	432	1041
88	435	1031
89	437	1019
90	439	1009
91	442	999
92	444	989
93	447	980
94	450	972
95	453	964
96	456	955
97	458	946
98	461	936
99	464	929
100	467	921
101	470	913
102	472	904
103	475	896
104	478	889
105	482	882
106	484	874
107	487	866
108	489	858
109	492	850
110	495	842
111	497	835
112	500	827
113	502	820
114	505	812
115	507	805
116	510	798
117	513	791
118	515	783
119	517	776
120	520	769
121	522	762
122	525	756
123	528	750
124	531	744
125	534	737
126	536	730
127	538	724
128	541	717
129	544	712
130	547	706
131	550	700
132	552	694
133	555	687
134	558	682
135	561	677
136	564	671
137	567	666
138	570	660
139	573	655
140	576	650
141	580	645
142	583	640
143	585	634
144	588	629
145	591	623
146	594	619
147	597	613
148	599	607
149	602	602
150	604	596
151	607	591
152	610	586
153	612	581
154	615	575
155	618	570
156	620	565
157	623	559
158	626	555
159	629	550
160	631	545
161	634	540
162	636	535
163	639	530
164	641	525
165	644	520
166	647	515
167	649	510
168	652	505
169	654	500
170	657	495
171	660	491
172	663	486
173	666	482
174	668	477
175	671	472
176	675	469
177	678	465
178	682	461
179	685	456
180	687	452
181	690	447
182	694	443
183	697	439
184	700	435
185	703	431
186	706	426
187	710	423
188	713	418
189	716	414
190	718	410
191	721	405
192	724	401
193	727	397
194	729	392
195	732	388
196	734	384
197	737	379
198	741	376
199	744	372
200	747	368
201	749	363
202	752	359
203	755	355
204	758	351
205	761	347
206	763	342
207	765	338
208	768	334
209	772	331
210	775	327
211	778	323
212	781	319
213	783	314
214	786	310
215	791	307
216	793	303
217	796	299
218	798	295
219	801	291
220	804	287
221	807	283
222	810	279
223	813	275
224	815	271
225	818	267
226	821	264
227	823	260
228	826	256
229	828	252
230	831	248
231	834	244
232	837	240
233	840	237
234	842	233
235	845	229
236	848	225
237	850	221
238	854	218
239	857	214
240	860	210
241	862	206
242	865	202
243	868	199
244	871	195
245	874	191
246	877	188
247	879	184
248	882	180
249	885	177
250	889	173
251	891	169
252	894	166
253	896	162
254	899	158
255	902	155
256	905	151
257	908	147
258	910	144
259	913	140
260	915	136
261	919	133
262	922	129
263	924	126
264	927	122
265	929	118
266	932	115
267	935	111
268	938	108
269	941	104
270	943	100
271	946	97
272	948	93
273	952	90
274	955	86
275	957	83
276	960	79
277	963	76
278	966	72
279	970	69
280	974	65
281	976	62
282	979	58
283	982	55
284	986	51
285	989	48
286	992	44
287	996	41
288	999	38
289	1004	34
290	1007	31
291	1009	27
292	1012	24
293	1017	20
294	1020	17
295	1023	13
296	1026	10
297	1028	6
298	1032	3
299	1035	0
